"Date","Time","State","State No","Scale","Injuries","Fatalities","Start Lat","Start Lon","Length","Width"
"1951-04-21","14:00:00","LA","5","0","1","0","32.33","-92.32","1.0","33.0"
"1951-08-22","15:00:00","LA","6","1","0","0","30.25","-93.42","0.5","33.0"
"1951-09-02","16:15:00","LA","7","1","0","0","31.92","-92.73","0.5","100.0"
"1951-09-27","10:30:00","LA","8","2","0","0","29.87","-90.13","1.0","20.0"
"1951-11-01","07:00:00","LA","9","1","0","0","30.08","-89.8","0.3","100.0"
"1952-02-13","04:00:00","LA","1","0","0","0","32.98","-94.0","1.0","133.0"
"1952-02-19","09:00:00","LA","2","2","5","0","32.35","-94.0","0.5","200.0"
"1952-03-10","08:30:00","LA","3","3","0","0","32.23","-93.65","50.9","650.0"
"1952-04-03","23:00:00","LA","4","1","0","0","32.95","-92.83","2.0","67.0"
"1952-04-04","02:00:00","LA","5","3","10","0","30.17","-92.87","36.7","100.0"
"1952-04-04","03:30:00","LA","7","2","3","0","29.87","-91.62","6.4","20.0"
"1952-04-04","03:30:00","LA","6","2","33","4","30.37","-92.13","20.4","67.0"
"1952-04-23","09:15:00","LA","8","0","0","0","30.88","-90.5","0.5","20.0"
"1952-05-19","09:00:00","LA","9","0","0","0","29.6","-90.67","1.0","33.0"
"1953-02-06","13:00:00","LA","1","3","21","2","30.48","-90.7","15.6","400.0"
"1953-03-22","15:00:00","LA","2","2","0","0","0.0","0.0","0.0","0.0"
"1953-03-22","15:00:00","LA","2","2","22","2","31.1","-93.22","234.7","200.0"
"1953-03-22","15:00:00","LA","2","2","22","2","31.1","-93.22","159.2","200.0"
"1953-04-29","12:30:00","LA","3","2","0","0","32.48","-92.53","11.5","200.0"
"1953-05-02","15:00:00","LA","4","1","0","0","29.92","-91.0","1.0","100.0"
"1953-05-16","03:30:00","LA","5","2","3","0","30.4","-92.23","21.7","150.0"
"1953-05-16","18:00:00","LA","6","0","0","0","32.43","-94.0","2.0","50.0"
"1953-05-16","18:30:00","LA","7","2","0","0","31.98","-93.0","28.5","200.0"
"1953-05-16","20:00:00","LA","8","2","2","0","32.3","-92.75","22.5","100.0"
"1953-05-17","13:30:00","LA","9","3","17","0","32.47","-91.75","41.6","100.0"
"1953-05-18","12:00:00","LA","10","2","1","0","30.75","-92.8","0.5","33.0"
"1953-05-18","13:30:00","LA","11","1","0","0","30.9","-90.8","2.0","67.0"
"1953-07-17","11:20:00","LA","12","2","2","0","29.95","-90.03","6.4","33.0"
"1953-10-25","03:30:00","LA","13","1","0","0","30.1","-97.33","1.0","33.0"
"1953-11-21","18:00:00","LA","14","1","0","0","29.92","-90.45","1.0","100.0"
"1953-11-21","22:00:00","LA","15","2","2","0","30.1","-91.98","20.4","300.0"
"1953-12-03","01:00:00","LA","16","4","50","9","31.07","-93.05","85.5","300.0"
"1953-12-03","03:00:00","LA","17","2","3","0","32.0","-93.7","1.0","100.0"
"1953-12-05","16:00:00","LA","18","2","16","0","32.8","-92.67","9.7","33.0"
"1953-12-05","17:00:00","LA","19","2","11","0","32.75","-92.13","58.3","880.0"
"1953-12-05","17:00:00","LA","19","2","11","0","32.75","-92.13","26.1","880.0"
"1954-02-19","21:25:00","LA","1","2","4","1","30.9","-91.58","0.5","100.0"
"1954-04-08","15:00:00","LA","2","0","0","0","30.23","-92.95","1.0","10.0"
"1954-04-09","16:10:00","LA","3","0","0","0","30.25","-92.75","22.9","20.0"
"1954-04-28","06:10:00","LA","4","1","0","0","31.55","-91.5","0.5","50.0"
"1954-04-30","13:30:00","LA","5","2","6","1","31.5","-93.6","16.7","100.0"
"1954-04-30","14:30:00","LA","6","1","0","0","32.0","-92.45","0.5","33.0"
"1954-04-30","15:30:00","LA","7","2","1","0","32.53","-92.15","1.0","67.0"
"1954-08-16","16:45:00","LA","8","2","0","0","32.08","-93.83","4.5","100.0"
"1954-08-23","18:00:00","LA","9","1","0","0","32.83","-91.4","1.0","33.0"
"1954-08-29","14:30:00","LA","10","0","0","0","31.75","-93.08","1.0","67.0"
"1954-08-29","15:15:00","LA","11","1","0","0","30.13","-91.17","1.0","33.0"
"1955-04-04","15:05:00","LA","1","1","0","0","30.83","-93.03","1.0","500.0"
"1955-05-23","13:00:00","LA","2","2","0","0","32.25","-93.0","4.1","400.0"
"1955-06-27","15:00:00","LA","3","0","0","0","32.97","-92.67","0.2","33.0"
"1956-02-08","14:00:00","LA","1","1","0","0","30.6","-92.05","45.5","300.0"
"1956-04-05","16:30:00","LA","2","1","2","0","32.27","-91.8","21.0","100.0"
"1956-07-13","14:30:00","LA","3","1","0","0","30.5","-91.17","0.5","33.0"
"1956-10-02","14:30:00","LA","4","0","0","0","32.28","-92.12","0.5","33.0"
"1956-10-20","19:20:00","LA","5","0","2","0","30.0","-91.8","0.5","33.0"
"1957-01-22","10:50:00","LA","1","3","9","3","32.6","-93.5","1.7","167.0"
"1957-03-21","06:00:00","LA","2","3","2","0","29.5","-90.6","2.0","100.0"
"1957-03-31","16:00:00","LA","3","2","0","0","30.05","-92.8","10.6","267.0"
"1957-03-31","18:00:00","LA","4","1","0","0","30.1","-90.45","2.0","1000.0"
"1957-03-31","22:15:00","LA","5","1","3","0","29.33","-89.4","1.0","100.0"
"1957-03-31","22:30:00","LA","6","1","0","0","29.47","-89.65","1.0","200.0"
"1957-04-03","18:00:00","LA","7","0","0","0","32.25","-92.7","0.5","33.0"
"1957-04-27","17:40:00","LA","8","2","0","0","30.17","-93.37","1.0","200.0"
"1957-05-23","17:00:00","LA","9","1","1","0","32.87","-93.77","0.5","150.0"
"1957-06-27","06:00:00","LA","10","0","0","0","30.05","-89.9","0.5","27.0"
"1957-06-27","22:30:00","LA","11","1","0","0","30.4","-91.97","0.5","33.0"
"1957-07-13","12:50:00","LA","12","0","0","0","30.0","-90.1","0.5","33.0"
"1957-10-15","22:30:00","LA","13","3","29","1","30.47","-92.08","37.9","100.0"
"1957-10-16","00:45:00","LA","14","1","0","0","30.5","-91.3","1.0","33.0"
"1957-10-16","01:00:00","LA","16","1","0","0","30.93","-90.5","0.5","50.0"
"1957-10-16","01:30:00","LA","15","1","0","0","30.5","-90.83","1.0","33.0"
"1957-10-23","08:15:00","LA","17","2","1","1","31.1","-92.3","18.3","100.0"
"1957-10-23","14:15:00","LA","18","2","0","0","29.93","-91.1","11.0","100.0"
"1957-11-07","14:30:00","LA","19","2","0","0","32.4","-93.7","13.4","100.0"
"1957-11-07","14:30:00","LA","20","1","0","0","30.05","-92.75","22.8","50.0"
"1957-11-07","16:50:00","LA","21","3","5","0","30.97","-91.7","3.6","50.0"
"1957-11-07","20:35:00","LA","22","1","0","0","31.17","-93.3","1.0","50.0"
"1957-11-07","21:00:00","LA","23","3","16","3","31.38","-92.67","13.3","67.0"
"1957-11-07","23:30:00","LA","24","1","13","2","30.33","-92.05","2.0","50.0"
"1957-11-07","23:30:00","LA","25","3","10","4","30.35","-92.2","9.2","200.0"
"1957-11-13","11:10:00","LA","26","2","0","0","31.15","-92.25","1.0","33.0"
"1957-11-13","13:25:00","LA","27","2","0","0","28.95","-92.5","0.5","33.0"
"1957-11-13","13:25:00","LA","28","1","0","0","30.53","-90.1","2.0","100.0"
"1957-11-16","05:00:00","LA","29","3","1","0","31.57","-93.4","1.0","100.0"
"1957-11-18","11:00:00","LA","30","1","0","0","30.5","-90.7","21.6","27.0"
"1958-02-26","17:15:00","LA","1","2","2","0","32.87","-93.88","0.3","50.0"
"1958-02-26","18:00:00","LA","2","2","0","0","32.9","-91.2","5.7","50.0"
"1958-02-26","18:00:00","LA","2","2","0","0","32.9","-91.2","3.0","50.0"
"1958-04-24","19:30:00","LA","3","2","0","0","32.77","-91.37","58.7","30.0"
"1958-04-24","19:30:00","LA","3","2","0","0","32.77","-91.37","18.3","30.0"
"1958-11-14","14:10:00","LA","4","2","0","0","30.47","-91.15","2.0","17.0"
"1958-11-14","17:30:00","LA","5","2","1","0","32.65","-93.4","5.6","30.0"
"1959-01-21","09:15:00","LA","1","1","0","0","30.7","-91.45","0.5","33.0"
"1959-02-14","07:15:00","LA","2","1","1","0","32.6","-93.75","0.1","20.0"
"1959-03-05","08:00:00","LA","3","0","0","0","30.57","-93.35","0.5","33.0"
"1959-04-17","18:00:00","LA","4","1","0","0","32.58","-93.3","0.1","33.0"
"1959-04-19","17:25:00","LA","5","2","0","0","31.9","-92.87","20.7","100.0"
"1959-04-21","00:45:00","LA","6","1","1","0","32.27","-93.4","15.1","33.0"
"1959-05-11","17:14:00","LA","7","0","0","0","29.6","-90.67","0.2","33.0"
"1959-06-01","14:47:00","LA","8","0","0","0","30.95","-91.6","0.2","33.0"
"1959-06-03","16:15:00","LA","9","2","0","0","30.45","-93.45","1.0","100.0"
"1959-06-14","16:00:00","LA","10","1","2","0","29.95","-92.2","17.0","450.0"
"1959-08-16","12:50:00","LA","11","0","0","0","30.23","-92.75","0.1","67.0"
"1960-01-14","11:20:00","LA","1","0","0","0","32.47","-93.75","4.5","20.0"
"1960-02-03","16:15:00","LA","2","2","8","0","29.8","-90.8","4.3","100.0"
"1960-02-17","18:00:00","LA","3","1","0","0","30.2","-93.33","1.0","100.0"
"1960-02-17","20:30:00","LA","4","1","0","0","30.2","-91.97","10.6","183.0"
"1960-03-29","05:30:00","LA","5","0","0","0","30.8","-90.37","0.5","33.0"
"1960-04-29","17:00:00","LA","6","2","4","0","30.3","-92.8","13.8","1667.0"
"1960-04-29","18:00:00","LA","7","1","0","0","29.8","-92.13","33.2","450.0"
"1960-06-09","15:10:00","LA","8","1","0","0","30.75","-92.4","1.0","33.0"
"1960-09-22","16:30:00","LA","9","1","0","0","32.37","-92.6","0.5","33.0"
"1961-02-21","04:05:00","LA","1","2","9","0","30.95","-89.83","0.8","283.0"
"1961-03-17","01:30:00","LA","2","2","0","0","30.42","-93.45","40.4","283.0"
"1961-03-27","17:45:00","LA","3","1","0","0","32.57","-93.8","0.5","10.0"
"1961-03-29","23:30:00","LA","4","1","0","0","30.33","-92.4","3.3","30.0"
"1961-03-30","16:00:00","LA","5","2","1","0","30.95","-91.92","6.2","800.0"
"1961-04-09","05:00:00","LA","6","2","0","0","30.7","-90.5","23.6","100.0"
"1961-05-14","14:00:00","LA","7","2","0","0","32.22","-93.2","6.1","283.0"
"1961-09-10","16:50:00","LA","8","3","55","1","30.0","-92.3","5.7","283.0"
"1961-09-10","18:09:00","LA","9","1","0","0","29.8","-92.1","2.0","100.0"
"1961-09-10","18:12:00","LA","10","1","0","0","29.7","-91.2","1.0","100.0"
"1961-09-10","22:20:00","LA","11","2","16","0","29.7","-91.2","1.0","100.0"
"1961-09-10","22:20:00","LA","12","1","0","0","29.7","-91.3","0.3","100.0"
"1961-09-11","11:10:00","LA","13","1","0","0","30.6","-90.78","3.6","100.0"
"1961-09-11","11:30:00","LA","14","2","2","0","30.33","-89.77","4.3","100.0"
"1961-09-11","13:00:00","LA","15","0","0","0","30.43","-90.5","5.6","100.0"
"1961-09-12","13:00:00","LA","16","3","37","5","32.23","-92.7","2.0","400.0"
"1961-09-12","15:00:00","LA","17","2","0","0","32.97","-92.6","7.1","100.0"
"1961-09-12","15:00:00","LA","17","2","0","0","32.97","-92.6","4.1","100.0"
"1961-09-13","08:30:00","LA","18","1","0","0","32.22","-93.12","0.3","100.0"
"1961-11-02","14:00:00","LA","19","0","1","0","31.77","-93.57","3.3","67.0"
"1961-11-13","09:23:00","LA","20","2","1","0","30.6","-91.17","3.4","50.0"
"1961-11-13","15:00:00","LA","21","1","0","0","29.7","-90.6","1.0","33.0"
"1961-11-13","23:00:00","LA","22","1","0","0","29.28","-89.33","1.0","33.0"
"1961-11-22","19:00:00","LA","23","2","0","0","29.45","-90.6","13.1","33.0"
"1961-11-22","20:00:00","LA","24","2","3","0","30.08","-90.53","2.0","50.0"
"1961-12-11","13:45:00","LA","25","0","3","0","30.82","-93.3","1.0","50.0"
"1962-02-15","13:50:00","LA","1","0","0","0","32.5","-92.7","0.5","33.0"
"1962-02-15","16:00:00","LA","2","0","0","0","32.5","-92.77","0.2","33.0"
"1962-02-23","10:15:00","LA","3","1","1","0","32.25","-92.7","2.0","50.0"
"1962-02-23","11:25:00","LA","4","0","0","0","32.5","-92.38","0.5","33.0"
"1962-03-31","07:00:00","LA","5","1","0","0","30.1","-89.75","1.0","30.0"
"1962-04-27","11:01:00","LA","6","2","0","0","32.33","-93.6","0.3","100.0"
"1962-04-27","19:00:00","LA","7","1","0","0","30.17","-93.35","1.0","100.0"
"1962-04-27","22:00:00","LA","8","1","0","0","30.83","-90.45","4.1","33.0"
"1962-04-30","18:58:00","LA","9","1","0","0","32.45","-93.92","1.0","33.0"
"1962-04-30","21:15:00","LA","10","1","1","0","32.92","-91.55","20.9","133.0"
"1962-08-28","21:55:00","LA","11","0","0","0","29.8","-93.32","0.5","33.0"
"1962-08-28","22:10:00","LA","12","1","30","2","29.8","-93.33","0.5","50.0"
"1962-08-30","15:30:00","LA","13","0","0","0","30.7","-91.0","1.0","117.0"
"1962-09-05","15:25:00","LA","14","1","0","0","30.67","-92.15","0.5","33.0"
"1962-09-05","15:40:00","LA","15","1","0","0","30.5","-92.23","0.5","33.0"
"1962-09-05","15:40:00","LA","16","1","0","0","30.5","-92.15","0.5","33.0"
"1962-09-10","15:14:00","LA","17","0","0","0","29.9","-93.4","2.0","33.0"
"1962-09-14","12:13:00","LA","18","0","0","0","29.6","-92.5","1.0","33.0"
"1962-10-08","18:30:00","LA","19","0","0","0","30.47","-91.55","0.5","33.0"
"1963-01-11","11:45:00","LA","1","1","3","0","29.9","-90.0","15.7","100.0"
"1963-04-29","13:45:00","LA","2","1","0","0","32.9","-91.97","8.4","200.0"
"1963-04-29","18:45:00","LA","3","1","0","0","32.9","-91.9","7.6","150.0"
"1963-06-21","11:00:00","LA","4","0","0","0","32.3","-92.3","1.0","33.0"
"1963-06-21","11:30:00","LA","5","0","0","0","32.47","-91.75","1.0","33.0"
"1963-06-29","14:35:00","LA","6","1","1","0","32.0","-91.65","0.3","183.0"
"1963-07-02","14:00:00","LA","7","1","0","0","30.7","-90.53","0.5","33.0"
"1963-11-05","17:15:00","LA","8","1","1","0","29.87","-92.4","1.0","33.0"
"1963-11-22","09:30:00","LA","9","1","0","0","32.83","-93.9","3.6","283.0"
"1964-04-05","09:30:00","LA","1","2","0","0","32.47","-92.78","5.4","83.0"
"1964-04-24","08:30:00","LA","2","3","2","0","32.43","-94.03","20.6","500.0"
"1964-08-14","15:30:00","LA","3","1","0","0","29.83","-92.25","6.2","67.0"
"1964-10-03","05:45:00","LA","4","1","0","0","29.37","-90.23","0.5","33.0"
"1964-10-03","06:00:00","LA","5","1","0","0","29.43","-90.28","0.5","33.0"
"1964-10-03","06:30:00","LA","6","4","165","22","29.6","-90.37","1.5","67.0"
"1964-10-03","09:00:00","LA","7","2","5","0","29.93","-90.22","14.2","83.0"
"1964-10-03","11:10:00","LA","8","2","0","0","29.92","-91.1","1.5","100.0"
"1964-10-04","03:25:00","LA","9","2","0","0","30.38","-90.13","1.0","183.0"
"1964-11-27","19:45:00","LA","10","2","1","0","31.13","-92.0","6.9","100.0"
"1964-11-27","20:30:00","LA","11","1","0","0","32.73","-91.92","1.0","67.0"
"1964-12-03","16:53:00","LA","12","1","0","0","32.25","-92.75","8.7","67.0"
"1964-12-03","19:25:00","LA","14","1","0","0","30.6","-92.17","0.5","33.0"
"1964-12-03","21:00:00","LA","13","0","0","0","31.35","-92.15","0.5","33.0"
"1965-01-08","17:01:00","LA","1","2","0","0","30.3","-92.05","1.0","33.0"
"1965-01-22","06:15:00","LA","2","1","0","0","32.45","-93.9","12.8","67.0"
"1965-01-22","10:20:00","LA","3","2","0","0","30.37","-93.2","0.5","33.0"
"1965-01-22","11:00:00","LA","4","1","0","0","30.25","-92.75","1.0","33.0"
"1965-01-22","11:00:00","LA","5","1","0","0","30.95","-92.58","0.5","33.0"
"1965-01-22","12:05:00","LA","6","2","2","0","31.23","-92.17","2.3","67.0"
"1965-01-22","13:45:00","LA","7","2","0","0","30.1","-91.0","1.0","267.0"
"1965-01-22","14:00:00","LA","8","1","0","0","30.13","-90.9","0.5","33.0"
"1965-01-22","14:47:00","LA","9","0","0","0","30.5","-90.6","0.3","117.0"
"1965-01-22","15:00:00","LA","10","1","0","0","30.1","-91.9","0.2","33.0"
"1965-01-22","15:50:00","LA","11","1","0","0","30.5","-90.53","0.3","67.0"
"1965-02-11","11:00:00","LA","12","0","0","0","32.28","-94.03","11.9","117.0"
"1965-02-11","11:00:00","LA","13","1","0","0","32.1","-93.75","27.1","117.0"
"1965-02-11","11:15:00","LA","14","3","3","0","32.18","-94.03","33.0","117.0"
"1965-02-11","11:37:00","LA","15","1","0","0","32.12","-94.12","22.5","117.0"
"1965-02-11","12:45:00","LA","16","2","0","0","32.55","-92.67","9.0","117.0"
"1965-03-01","05:45:00","LA","17","2","1","0","29.35","-89.53","0.5","67.0"
"1965-06-27","14:00:00","LA","18","2","0","0","30.35","-91.15","0.5","33.0"
"1965-07-10","23:25:00","LA","19","1","0","0","32.52","-92.05","4.1","33.0"
"1965-07-11","17:00:00","LA","20","2","1","0","32.52","-92.83","0.5","33.0"
"1965-07-11","17:00:00","LA","21","0","0","0","31.05","-92.0","0.5","33.0"
"1965-07-12","15:50:00","LA","22","0","0","0","30.33","-92.7","0.5","33.0"
"1965-07-20","15:45:00","LA","23","1","0","0","32.5","-92.1","0.1","50.0"
"1965-12-11","22:25:00","LA","24","1","4","0","32.57","-93.47","0.3","283.0"
"1965-12-11","22:45:00","LA","25","2","0","0","32.35","-93.9","0.1","17.0"
"1965-12-11","23:00:00","LA","26","1","0","0","32.1","-94.0","1.0","100.0"
"1966-01-28","21:50:00","LA","1","3","0","0","29.92","-90.32","0.1","17.0"
"1966-02-09","14:50:00","LA","2","1","0","0","32.45","-93.72","0.1","10.0"
"1966-02-09","18:15:00","LA","3","2","0","0","32.87","-91.4","1.0","100.0"
"1966-02-10","04:00:00","LA","4","2","0","0","30.1","-92.8","0.2","33.0"
"1966-03-03","15:00:00","LA","5","1","1","0","32.03","-91.2","1.0","233.0"
"1966-04-29","18:15:00","LA","6","1","1","0","32.83","-92.4","0.6","33.0"
"1966-05-19","08:30:00","LA","7","0","0","0","30.3","-92.33","1.3","100.0"
"1966-05-26","17:00:00","LA","8","1","0","0","29.3","-89.4","0.1","100.0"
"1966-07-03","14:15:00","LA","9","1","0","0","30.0","-92.27","0.2","33.0"
"1966-07-07","17:30:00","LA","10","0","0","0","29.75","-90.9","0.1","33.0"
"1966-08-12","15:00:00","LA","11","1","0","0","32.3","-93.83","0.1","33.0"
"1966-09-15","15:45:00","LA","12","0","0","0","39.97","-92.97","0.1","50.0"
"1967-01-26","14:00:00","LA","1","2","0","0","31.4","-93.13","1.0","33.0"
"1967-04-13","13:45:00","LA","2","1","1","0","32.23","-93.17","0.5","67.0"
"1967-04-13","13:50:00","LA","3","2","1","0","32.17","-93.33","2.0","100.0"
"1967-04-13","14:15:00","LA","4","1","1","0","32.52","-92.83","0.5","33.0"
"1967-04-13","14:15:00","LA","5","1","0","0","32.52","-93.05","0.5","33.0"
"1967-04-13","14:15:00","LA","6","1","0","0","32.52","-92.92","0.5","33.0"
"1967-04-18","18:06:00","LA","7","0","0","0","30.17","-92.5","0.1","33.0"
"1967-04-19","17:45:00","LA","8","0","0","0","30.07","-92.73","0.5","67.0"
"1967-05-01","12:50:00","LA","9","1","0","0","31.47","-93.6","1.0","33.0"
"1967-05-01","18:15:00","LA","10","3","2","0","30.67","-92.93","5.2","750.0"
"1967-05-01","22:40:00","LA","11","2","4","0","30.0","-92.28","2.0","50.0"
"1967-05-01","23:30:00","LA","12","2","1","0","30.08","-91.22","1.0","50.0"
"1967-05-06","17:00:00","LA","13","0","0","0","32.4","-92.95","1.0","33.0"
"1967-05-06","19:15:00","LA","14","2","1","0","32.82","-93.78","2.2","33.0"
"1967-05-21","05:45:00","LA","15","1","0","0","30.0","-92.3","0.5","50.0"
"1967-09-06","05:00:00","LA","16","1","0","0","29.47","-89.65","0.1","10.0"
"1967-09-06","09:00:00","LA","17","1","0","0","29.6","-90.72","0.2","10.0"
"1967-10-30","07:15:00","LA","18","2","5","0","29.6","-89.75","1.0","10.0"
"1967-10-30","12:00:00","LA","19","2","1","0","29.35","-89.53","0.2","10.0"
"1968-02-01","17:45:00","LA","1","3","0","0","32.4","-92.1","0.5","100.0"
"1968-02-01","17:50:00","LA","2","1","0","0","30.77","-93.3","0.2","33.0"
"1968-03-11","06:45:00","LA","3","0","0","0","32.4","-92.7","0.5","67.0"
"1968-03-11","07:08:00","LA","4","2","0","0","32.3","-92.75","0.5","67.0"
"1968-03-11","09:10:00","LA","5","3","0","0","31.77","-93.1","1.0","100.0"
"1968-03-11","10:00:00","LA","6","0","0","0","32.5","-92.0","0.5","33.0"
"1968-04-23","16:00:00","LA","7","2","0","0","30.13","-92.35","1.0","67.0"
"1968-06-17","15:00:00","LA","8","2","0","0","30.8","-92.67","0.1","17.0"
"1968-06-20","11:20:00","LA","9","1","0","0","29.37","-89.42","0.5","100.0"
"1968-06-24","11:51:00","LA","10","0","0","0","32.17","-92.23","0.1","33.0"
"1968-09-15","10:40:00","LA","11","1","0","0","30.08","-93.33","0.2","33.0"
"1968-09-17","14:30:00","LA","12","2","0","0","30.83","-90.12","1.0","100.0"
"1968-11-17","05:05:00","LA","13","1","0","0","31.2","-92.75","0.5","33.0"
"1968-11-27","23:30:00","LA","14","3","0","0","32.75","-91.72","0.5","33.0"
"1968-11-30","22:30:00","LA","15","1","0","0","30.5","-92.08","1.0","33.0"
"1968-11-30","22:30:00","LA","16","2","1","0","30.8","-91.8","0.5","33.0"
"1968-12-30","17:02:00","LA","17","1","0","0","30.47","-93.43","0.5","33.0"
"1969-03-23","11:20:00","LA","1","1","0","0","30.2","-93.52","0.5","33.0"
"1969-03-23","12:10:00","LA","2","0","0","0","30.15","-93.05","0.5","33.0"
"1969-03-23","12:20:00","LA","3","1","0","0","30.1","-93.0","0.5","33.0"
"1969-04-05","05:08:00","LA","4","1","0","0","30.17","-93.22","0.5","33.0"
"1969-04-05","05:08:00","LA","5","1","0","0","30.12","-92.9","0.5","33.0"
"1969-04-12","22:30:00","LA","6","3","1","0","30.2","-90.9","10.7","100.0"
"1969-04-17","12:00:00","LA","7","1","0","0","32.55","-91.4","2.0","67.0"
"1969-05-26","18:05:00","LA","8","0","0","0","30.27","-92.55","0.5","20.0"
"1969-07-10","12:40:00","LA","9","1","0","0","30.2","-92.03","0.5","33.0"
"1969-07-14","16:30:00","LA","10","1","1","0","29.27","-89.93","0.5","33.0"
"1969-07-14","18:45:00","LA","11","1","0","0","30.3","-92.95","0.5","33.0"
"1969-07-14","18:45:00","LA","12","0","0","0","30.87","-91.03","0.5","33.0"
"1969-10-10","16:00:00","LA","13","1","0","0","32.93","-93.45","1.0","100.0"
"1969-12-06","12:45:00","LA","14","2","0","0","30.15","-92.03","0.5","33.0"
"1969-12-21","05:15:00","LA","15","1","5","0","29.75","-90.03","16.4","67.0"
"1969-12-25","04:30:00","LA","16","3","8","1","30.0","-92.27","1.5","100.0"
"1969-12-25","06:45:00","LA","17","3","1","0","30.13","-91.35","13.5","50.0"
"1969-12-29","14:15:00","LA","18","3","2","0","31.5","-91.85","29.1","183.0"
"1970-01-29","10:25:00","LA","1","1","0","0","31.9","-91.2","2.0","50.0"
"1970-03-17","04:55:00","LA","2","1","0","0","30.57","-93.33","0.5","50.0"
"1970-03-17","08:30:00","LA","3","3","2","0","29.7","-91.3","1.0","50.0"
"1970-04-19","04:00:00","LA","4","3","2","0","32.32","-93.67","6.8","50.0"
"1970-04-25","20:57:00","LA","5","1","0","0","32.63","-93.08","24.4","833.0"
"1970-05-24","18:00:00","LA","6","2","0","0","30.73","-92.3","5.2","417.0"
"1970-05-24","20:30:00","LA","7","1","0","0","32.2","-92.0","1.0","183.0"
"1970-05-25","18:20:00","LA","8","0","0","0","32.47","-93.0","0.2","33.0"
"1970-06-01","01:35:00","LA","9","1","0","0","30.63","-91.2","0.5","183.0"
"1970-06-27","16:20:00","LA","10","1","0","0","32.27","-93.8","0.5","67.0"
"1970-07-08","13:00:00","LA","11","1","0","0","30.5","-90.1","0.3","33.0"
"1970-07-24","12:43:00","LA","12","0","0","0","29.9","-93.3","1.0","33.0"
"1970-10-11","22:00:00","LA","13","2","2","1","29.9","-93.2","1.0","200.0"
"1970-10-13","04:10:00","LA","14","2","0","0","29.7","-90.1","1.0","50.0"
"1970-12-30","16:45:00","LA","15","1","0","0","29.0","-89.17","0.5","50.0"
"1971-02-12","03:50:00","LA","1","3","1","0","30.22","-93.2","3.6","150.0"
"1971-02-21","14:50:00","LA","2","5","510","47","32.38","-91.47","109.2","500.0"
"1971-02-21","14:50:00","LA","2","5","18","11","32.38","-91.47","31.7","500.0"
"1971-03-10","02:00:00","LA","3","2","7","1","29.98","-90.22","7.5","300.0"
"1971-05-07","00:30:00","LA","4","2","2","0","32.25","-91.45","1.0","17.0"
"1971-05-11","07:00:00","LA","5","1","0","0","30.53","-90.33","0.5","67.0"
"1971-05-11","17:28:00","LA","6","2","0","0","30.52","-92.12","0.1","17.0"
"1971-05-11","17:48:00","LA","7","2","0","0","30.08","-92.67","0.3","50.0"
"1971-06-08","18:35:00","LA","8","0","0","0","32.45","-91.67","0.2","17.0"
"1971-06-22","14:58:00","LA","9","1","0","0","32.42","-91.37","0.1","17.0"
"1971-06-22","16:35:00","LA","10","3","0","0","31.33","-92.55","0.1","17.0"
